vid,name,sex,age,number,email,address 
1,Bijal Doshi,0,25,9823545432,bijal.doshi@gmail.com,"123 shanti niketan,ghatkopar(west),mumbai-400083 "
2,Virali Doshi,0,24,8945367654,vdoshi@hotmail.com,"234 sea view,worli,mumbai-400012 "
3,Raj Shah,1,45,23425340,,"shop no.1 ashoka bldg,borivali(east),mumbai-400045 "
4,Suraj Pandey,1,18,8080434353,pandey_s@rediff.com,"43/201 rivera towers,chembur(west),mumbai-400077 "
5,Jashvina Gandhi,0,53,9250563421,jash@hotmail.com,"b31 Gifts depot,goregoan(east),mumbai-400067 "
6,Wroocha Kadam,0,35,9784003413,,"343 sukh sadan,mulund,mumbai-400098 "
7,Mahesh G,1,36,6536519832,iammahesh@yahoo.com,"21 kalanidhi,Chowpatty,mumbai-400002 "
8,Suresh M,1,45,5769845550,susu@yahoo.com,"77 shakti bhuvan,sion(west),mumbai-400022 "
9,Nandita sheth,0,27,30086746,nandz@gmail.com,"44 Sea pearl Deals,bandra west,mumbai-400051 "
10,Honey Singh,1,55,9853721200,hshs@rediff.com,"67 west view,vashi,navi mumbai-400611 "
11,katy singh,0,48,8646451300,,"b31 Khetwadi,grant road,mumbai-400005 "
12,Kunal Shah,1,32,4523451200,kunal.shah@hotmail.com,"576 pushpakunj,sector 22 nerul,navi mumbai-400650 "
13,Hetal shah,0,23,5737561550,hetal.shah@yahoo.in,"56 paramount,dadar,mumbai-400020 "
14,Mahalaxmi Shetty,0,20,6486852500,mhs@yahoo.co.in,"22 silver hills,kurla east,mumbai-400077 "
15,Renu kapoor,0,56,56562000,rk@gmail.com,"44 shakuntal,malad east,mumbai-400069 "
